ID,score,minuto,goal,quota1_p,quotax_p,quota2_p,under05_p,over05_p,under15_p,over15_p,under25_p,over25_p,under35_p,over35_p,under45_p,over45_p,quota1_b,quotax_b,quota2_b,under05_b,over05_b,under15_b,over15_b,under25_b,over25_b,under35_b,over35_b,under45_b,over45_b,amount1x2,amount05,amount15,amount25,amount35,amount45,timestamp,l_1x2_p,l_1x2_b,l_u05_p,l_u05_b,l_u15_p,l_u15_b,l_u25_p,l_u25_b,l_u35_p,l_u35_b,l_u45_p,l_u45_b,volume1x2,volume05,volume15,volume25,volume35,volume45
1,prematch,prematch,,3.55,4.5,2.0,30.0,1.03,8.8,1.12,3.6,1.38,2.12,1.88,1.49,3.0,3.6,4.6,2.02,32.0,1.04,9.4,1.13,3.65,1.39,2.14,1.9,1.5,3.05,1027072,91372.0,42792,43611,88028,10047,2020-08-23 20:39:47.195911+02:00,100.4,99.0,100.4,99.3,100.6,99.1,100.2,99.3,100.4,99.4,100.4,99.5,,,,,,
2,prematch,prematch,,3.55,4.5,2.0,30.0,1.03,8.8,1.12,3.6,1.37,2.1,1.89,1.49,2.98,3.6,4.6,2.02,32.0,1.04,9.4,1.13,3.75,1.39,2.14,1.91,1.51,3.05,1022020,91372.0,42762,43611,87236,10047,2020-08-23 20:40:11.597382+02:00,100.4,99.0,100.4,99.3,100.6,99.1,100.8,98.6,100.5,99.1,100.7,99.0,-0.0,0.0,-0.0,0.0,0.0,0.0
3,prematch,prematch,,3.55,4.5,2.0,30.0,1.03,8.8,1.12,3.6,1.37,2.12,1.88,1.49,2.98,3.6,4.6,2.02,32.0,1.04,9.4,1.13,3.75,1.38,2.14,1.9,1.51,3.05,1027074,91372.0,43307,43649,88028,10326,2020-08-23 20:40:32.706337+02:00,100.4,99.0,100.4,99.3,100.6,99.1,100.8,99.1,100.4,99.4,100.7,99.0,5054.0,0.0,545.0,38.0,0.0,38.0
4,prematch,prematch,,3.55,4.5,2.0,30.0,1.03,8.8,1.12,3.6,1.37,2.1,1.9,1.49,3.0,3.6,4.6,2.02,32.0,1.04,9.4,1.13,3.75,1.39,2.12,1.91,1.5,3.05,1023063,91372.0,42762,43611,91002,10047,2020-08-23 20:40:55.187435+02:00,100.4,99.0,100.4,99.3,100.6,99.1,100.8,98.6,100.3,99.5,100.4,99.5,-0.0,0.0,-0.0,-0.0,0.0,-0.0
5,prematch,prematch,,3.55,4.5,2.0,30.0,1.03,8.8,1.12,3.6,1.37,2.1,1.89,1.49,2.98,3.6,4.6,2.02,32.0,1.04,9.4,1.13,3.75,1.39,2.14,1.91,1.51,3.05,1023063,91372.0,42792,43611,88006,10326,2020-08-23 20:41:17.020388+02:00,100.4,99.0,100.4,99.3,100.6,99.1,100.8,98.6,100.5,99.1,100.7,99.0,0.0,0.0,30.0,0.0,0.0,0.0
6,prematch,prematch,,3.55,4.5,2.0,30.0,1.03,8.8,1.12,3.6,1.37,2.12,1.88,1.49,2.98,3.6,4.6,2.02,32.0,1.04,9.4,1.13,3.75,1.39,2.14,1.9,1.51,3.05,1028001,91372.0,43307,43611,88028,10326,2020-08-23 20:41:38.383922+02:00,100.4,99.0,100.4,99.3,100.6,99.1,100.8,98.6,100.4,99.4,100.7,99.0,4938.0,0.0,515.0,0.0,0.0,0.0
7,prematch,prematch,,3.55,4.5,2.0,30.0,1.03,8.8,1.12,3.6,1.37,2.1,1.9,1.48,3.0,3.6,4.6,2.02,32.0,1.04,9.4,1.13,3.75,1.39,2.12,1.91,1.5,3.1,1027834,91372.0,43307,43611,91018,10326,2020-08-23 20:42:00.313756+02:00,100.4,99.0,100.4,99.3,100.6,99.1,100.8,98.6,100.3,99.5,100.9,98.9,-0.0,0.0,0.0,0.0,0.0,0.0
8,prematch,prematch,,3.55,4.5,2.0,30.0,1.03,8.8,1.12,3.6,1.37,2.1,1.9,1.49,2.98,3.6,4.6,2.02,32.0,1.04,9.4,1.13,3.75,1.38,2.12,1.91,1.51,3.05,1027072,91372.0,43587,43649,91018,10326,2020-08-23 20:42:23.927265+02:00,100.4,99.0,100.4,99.3,100.6,99.1,100.8,99.1,100.3,99.5,100.7,99.0,-0.0,0.0,280.0,38.0,0.0,38.0
9,prematch,prematch,,3.5,4.5,2.0,30.0,1.03,8.8,1.12,3.6,1.37,2.1,1.9,1.48,3.0,3.6,4.6,2.02,32.0,1.04,9.4,1.13,3.75,1.38,2.12,1.91,1.5,3.1,1029820,91372.0,43307,43649,91002,10326,2020-08-23 20:42:46.585377+02:00,100.8,99.0,100.4,99.3,100.6,99.1,100.8,99.1,100.3,99.5,100.9,98.9,2748.0,0.0,-0.0,0.0,0.0,0.0
10,prematch,prematch,,3.5,4.5,2.0,30.0,1.03,8.8,1.12,3.6,1.37,2.1,1.9,1.48,3.0,3.55,4.6,2.02,32.0,1.04,9.4,1.13,3.65,1.38,2.12,1.91,1.5,3.1,1029665,91372.0,43307,43815,91018,10326,2020-08-23 20:43:10.906724+02:00,100.8,99.4,100.4,99.3,100.6,99.1,100.8,99.9,100.3,99.5,100.9,98.9,-0.0,0.0,0.0,166.0,0.0,166.0
